0.0395 0.0862784 0.00235179 0.00333552 1.85958e-05 0.0862784 0.0102071 0.0309408 0.0355677 0.962138 0.0558629 0.00692163 0.0456191 0.597897 1.12847 0.0171041 0.000179158 -0.114378
0.2335 0.00269786 4.18808e-05 0.0742239 0.00428471 0.00646261 0.000181436 0.646349 0.0192114 0.0930095 0.00382401 0.260642 0.0160492 14.1358 37.5238 0.0229782 9.85477e-05 -0.662545
0.3575 0.00671338 0.000174481 0.00272495 4.24317e-05 0.0952592 0.0127209 0.263252 0.0149173 0.627003 0.0176475 0.109745 0.00362958 22.4627 59.7407 0.0318179 0.000404794 2.17508
0.4695 0.00284525 4.28816e-05 0.0815218 0.00605621 0.00683042 0.000203841 0.662097 0.0190746 0.0920564 0.00444396 0.245846 0.0157802 9.66886 24.3765 0.0250723 0.000151933 -1.41567
0.5775 0.0998827 0.00365587 0.00285897 4.31208e-05 0.00692476 0.000191766 0.1075 0.0035131 0.644641 0.0180713 0.247859 0.0151115 9.29491 21.9258 0.0330096 0.000120853 0.332251
0.6825 0.00755028 0.00018302 0.100807 0.00636835 0.00297326 3.4359e-05 0.216116 0.0109801 0.101963 0.0030183 0.681921 0.0137636 7.41758 16.4055 0.0324731 0.000206888 -1.42861
0.7865 0.00302753 3.81292e-05 0.00731955 0.000189422 0.0994148 0.0607186 0.679353 0.0159361 0.225942 0.0130906 0.0947049 0.00295225 23.259 49.1262 0.0308922 0.00187574 1.55406
0.8895 0.00304347 3.72888e-05 0.00735595 0.000180084 0.100774 0.00184394 0.676751 0.0154506 0.22987 0.0126033 0.0933796 0.00284568 6.91669 13.5344 0.0310967 5.76249e-05 -1.3217
0.9925 0.00726752 0.000204179 0.00313964 4.2347e-05 0.103435 0.00281677 0.224651 0.0148223 0.680836 0.0180604 0.0945132 0.00298994 10.9897 20.3035 0.0320897 9.06366e-05 1.42254
1.1965 0.00735146 0.000181727 0.103585 0.00260869 0.00320662 4.08078e-05 0.239417 0.0142896 0.0905328 0.00275924 0.67005 0.0172179 19.5335 32.2299 0.0314839 8.23408e-05 1.41758
1.3995 0.00327745 4.11085e-05 0.00732638 0.000163438 0.104735 0.00112163 0.654878 0.0169042 0.252705 0.0142302 0.0924173 0.00266249 18.8248 26.931 0.0321616 3.64783e-05 1.56614
1.6005 0.0034674 4.27902e-05 0.00744341 0.000169136 0.109677 0.00219546 0.651901 0.0176592 0.24597 0.0149029 0.102129 0.0028547 9.86707 12.4529 0.035355 7.78654e-05 -0.134233
1.8025 0.114054 0.00111848 0.0036065 4.08084e-05 0.00771482 0.000156316 0.109567 0.00277001 0.641531 0.0159206 0.248902 0.013353 5.76975 6.57794 0.0380583 4.30093e-05 -0.254276
2.0035 0.00373015 4.35311e-05 0.118873 0.000949608 0.00782452 0.000154673 0.623496 0.0163755 0.11919 0.0029708 0.257314 0.0140613 9.22354 9.62767 0.0413362 3.98111e-05 -0.447381
2.2045 0.00388462 4.96079e-05 0.00800769 0.00017679 0.122432 0.000678235 0.61593 0.0184154 0.256692 0.0159126 0.127378 0.00334613 22.9569 21.9868 0.0439896 3.09093e-05 1.5643
2.4055 0.00825295 0.000152278 0.130841 0.000495328 0.0040093 4.94012e-05 0.270944 0.0142059 0.14911 0.00345444 0.579946 0.0161279 16.1569 14.4408 0.0507982 2.64433e-05 0.828535
2.6055 0.0081378 0.000142259 0.132037 0.000417803 0.00402075 5.31457e-05 0.300544 0.0153509 0.159849 0.00383321 0.539606 0.0169471 8.30481 7.04206 0.0530605 2.35878e-05 -0.778548
