0.0185 0.00381114 6.23346e-05 0.833833 0.004198 0.166167 0.00383677 0.136107 0.00171736 0.788365 13.6305 -0.95392
0.6805 0.00324675 0.000196207 0.598258 0.0174493 0.401742 0.0248637 0.107371 0.005449 9.55289 201.998 -0.999914
1.1935 0.00358907 0.000238734 0.486807 0.0247127 0.513193 0.024993 0.140117 0.00497276 21.2289 352.631 0.995392
1.6985 0.00369744 0.000187436 0.954391 0.00317943 0.0456088 0.00702174 0.184031 0.00151272 6.53879 78.9801 -0.999271
2.2025 0.00460743 0.000260618 0.40077 0.021399 0.59923 0.0130757 0.243985 0.0234771 6.67487 64.152 -0.998738
2.7045 0.00528462 0.000300015 0.294292 0.0190623 0.705708 0.0062952 0.289625 0.008339 11.7754 96.2992 0.999992
3.2045 0.00505299 0.000135716 0.966502 0.00107996 0.0334976 0.00190554 0.304508 0.0022853 18.5292 136.247 0.999032
3.7055 0.00533469 0.000138663 0.483352 0.0107008 0.516648 0.00785725 0.334143 0.00421609 8.62354 71.7722 -0.999238
4.2075 0.00650247 0.000244336 0.366341 0.0126371 0.633659 0.00693232 0.357546 0.00199416 7.94629 72.3802 -0.998558
4.7075 0.0067106 0.00027526 0.425728 0.0149034 0.574272 0.00903203 0.359599 0.00209333 7.91375 73.594 -0.998797
5.2075 0.00660721 0.000360936 0.416003 0.0214951 0.583997 0.0109435 0.355157 0.0108384 9.6304 90.1657 -0.999771
5.7085 0.00689098 0.000264717 0.378916 0.013072 0.621084 0.00707357 0.356335 0.0156633 10.8074 101.872 -0.999983
6.2085 0.00668891 0.000218102 0.380971 0.0109781 0.619029 0.00734675 0.344681 0.00693355 7.96637 76.3558 -0.999597
6.7085 0.00556482 0.000486262 0.813335 -0.00336489 0.186665 0.0119405 0.319482 0.00387973 15.4317 151.485 0.998748
7.2085 0.00508249 0.000118155 0.405505 0.0137534 0.594495 0.00605982 0.303928 0.00172102 2.84354 29.481 -0.991689
7.7095 0.00512656 0.000467951 0.615636 0.0289939 0.384364 0.0409018 0.274631 0.0121481 7.36711 85.1719 -1
8.2095 0.00428201 0.000102119 0.258726 0.0210027 0.741274 0.00572355 0.208392 0.0110151 3.98361 57.7472 -0.998921
8.7105 0.00368761 0.000108782 0.759333 0.00557822 0.240667 0.0257518 0.110284 0.00509133 3.20166 81.575 -0.999625
9.2105 0.00340761 0.000694223 0.877134 0.0130597 0.122866 0.0603646 0.0116356 0.00158285 2.75332 599.619 0.9998
